"lat","lng","Address"
54.972398,-1.611337,"Pani's cafe, 61-63, High Bridge, Newcastle upon Tyne, Tyne & Wear, NE1 6BX"
54.972398,-1.611337,"STREET FOOD HIGHBRIDGE LIMITED, 69-75, High Bridge, Newcastle upon Tyne, Tyne & Wear, NE1 6BX"
54.971472,-1.611687,"Barluga Grey Street, 35 Grey Street, , Newcastle upon Tyne, Tyne & Wear, NE1 6EE"
54.972364,-1.612475,"The Muddler, 69 Grey Street, , Newcastle upon Tyne, Tyne & Wear, NE1 6EF"
54.973186,-1.613063,"The Naked Deli, 97 Grey Street, , Newcastle upon Tyne, Tyne & Wear, NE1 6EG"
54.972742,-1.612721,"Lola Jeans Newcastle, 1-3, Market Street, Newcastle upon Tyne, Tyne & Wear, NE1 6JE"
54.97375,-1.612605,"THE CHARLES GREY, 118 Grey Street, , Newcastle upon Tyne, Tyne & Wear, NE1 6JG"
54.972928,-1.611954,"dAt bAr, 11 Market Street, , Newcastle upon Tyne, Tyne & Wear, NE1 6JN"
54.973558,-1.612136,"Beeronomy Limited, Grainger Chambers 3-5, Hood Street, Newcastle upon Tyne, Tyne & Wear, NE1 6JQ"
54.973685,-1.611887,"Northern Counties Club, 11 Hood Street, , Newcastle upon Tyne, Tyne & Wear, NE1 6LH"
54.974213,-1.61121,"Manhua Cha, Unit 15. The Stack, Pilgrim Street, Newcastle Upon Tyne, , NE1 6PT"
54.973608,-1.610995,"Stack Newcastle, Stack Pilgrim Street, , Newcastle upon Tyne, , NE1 6QE"
54.973608,-1.610995,"ZEAN (NE) LTD , 43 Pilgrim Street, , Newcastle upon Tyne, Tyne & Wear, NE1 6QE"
54.973608,-1.610995,"Stixs (korean fried chicken) , Stacks unit 39, Pilgrims street, , Newcastle upon Tyne , , NE1 6QE"
54.973608,-1.610995,"Sushi Me Rollin', Unit 49 - Stack Newcastle, Pilgrim Street, Newcastle upon Tyne, , NE1 6QE"
54.973608,-1.610995,"Texas Smoker, Unit 36, STACK, PILGRIM STREET, NEWCASTLE UPON TYNE , , NE1 6QE"
54.973801,-1.611761,"Hatch 76, STACK Newcastle, Pilgrim Street, Newcastle Upon Tyne, , NE1 6QG"
54.973801,-1.611761,"Hullabaloo, STACK Newcastle, Pilgrim Street, Newcastle Upon Tyne, , NE1 6QG"
54.972026,-1.610776,"HORTICULTURE, HORTICULTURE (1-3), MARKET LANE, NEWCASTLE UPON TYNE, TYNE ND WEAR, NE1 6QQ"
54.971883,-1.610514,"DON VITOS, 86 Pilgrim Street, , Newcastle upon Tyne, Tyne & Wear, NE1 6SG"
54.971883,-1.610514,"Intermezzo , 82-84, Pilgrim Street, Newcastle upon Tyne, Tyne & Wear, NE1 6SG"
54.972946,-1.608363,"Flat Caps Coffee, Tru Knit House 9-11, Carliol Square, Newcastle upon Tyne, Tyne & Wear, NE1 6UF"
54.976797,-1.613479,"KFC, 107-109 Northumberland Street, , Newcastle Upon Tyne, , NE1 7AG"
54.976797,-1.613479,"Eat4less, 125 , Northumberland Street,  Newcastle upon Tyne , , NE1 7AG"
54.974209,-1.613379,"Banyan, Newcastle, 3 Monument Mall, Northumberland Street, Newcastle upon Tyne, Tyne & Wear, NE1 7AL"
54.973926,-1.614741,"The Alchemist Newcastle, Unit 5, Greys Quarter, Intu Eldon Square, Newcastle upon Tyne, Tyne & Wear, NE1 7AP"
54.973926,-1.614741,"UM INTERNATIONAL LTD, Unit 13, Greys Quarter, Intu Eldon Square, Newcastle upon Tyne, Tyne & Wear, NE1 7AP"
54.973926,-1.614741,"Tapas Revolution Newcastle, Unit 3, Greys Quarter, Intu Eldon Square, Newcastle upon Tyne, Tyne & Wear, NE1 7AP"
54.973926,-1.614741,"Georges Great British Kitchen, Unit 9, Greys Quarter, Intu Eldon Square, Newcastle upon Tyne, Tyne & Wear, NE1 7AP"
54.973926,-1.614741,"Chaophraya, Unit 15, Greys Quarter, Intu Eldon Square, Newcastle upon Tyne, Tyne & Wear, NE1 7AP"
54.973926,-1.614741,"Chatime, Unit K3 Grey's Quarter, Eldon Square, Newcastle, , NE1 7AP"
54.976036,-1.613598,"Fuego, 39 , Northumberland Street, Newcastle Upon Tyne, , NE1 7AS"
54.976036,-1.613598,"Patio, 39, Northumberland Street, Newcastle Upon Tyne, , NE1 7AS"
54.976036,-1.613598,"Mason and Rye, 39, Northumberland Street, Newcastle Upon Tyne, , NE1 7AS"
54.976036,-1.613598,"Terrace, 39, Northumberland Street, Newcastle Upon Tyne, , NE1 7AS"
54.976036,-1.613598,"International Set, 39, Northumberland Street, Newcastle Upon Tyne, , NE1 7AS"
54.975731,-1.613945,"The Purple Bear, The Purple Bear, Prudhoe Chare, Newcastle, , NE1 7AT"
54.975843,-1.612397,"McDonalds Northumberland Street, Bradburn House 64-68, Northumberland Street, Newcastle upon Tyne, Tyne & Wear, NE1 7DF"
54.977319,-1.613133,"MELI CAFE, 142 Northumberland Street, , Newcastle upon Tyne, Tyne & Wear, NE1 7DQ"
54.974588,-1.616672,"Smashburger, Unit S1, Greys Quarter, Eldon Square, Newcastle, , NE1 7JB"
54.974588,-1.616672,"CrepeAffaire Newcastle, 8 Lower Level, Eldon Square, Northumberland Street, Newcastle, , NE1 7JB"
54.977367,-1.614007,"shijo, Unit 4, The Hub, Haymarket, Newcastle upon Tyne, Tyne & Wear, NE1 7PF"
54.977695,-1.612504,"QIAOCHU CATERING MANAGEMENT LTD, 8 St. Marys Place, , Newcastle upon Tyne, Tyne & Wear, NE1 7PG"
54.977695,-1.612504,"Chinabowl , 5 St. Marys Place, , Newcastle upon Tyne, Tyne & Wear, NE1 7PG"
54.977695,-1.612504,"Bubble Cha, 7 St. Marys Place, , Newcastle upon Tyne, Tyne & Wear, NE1 7PG"
54.979341,-1.613067,"The Teahouse, 1 Eldon Place, , Newcastle upon Tyne, Tyne & Wear, NE1 7RD"
54.97582,-1.616412,"Cream Curls, 67-69, Percy Street, Newcastle upon Tyne, Tyne & Wear, NE1 7RN"
54.976436,-1.615858,"subway, 93 Percy Street, , Newcastle upon Tyne, Tyne & Wear, NE1 7RW"
54.976436,-1.615858,"Mark Toney, 91 Percy Street, , Newcastle upon Tyne, Tyne & Wear, NE1 7RW"
54.976436,-1.615858,"HAOWEI (NE) LTD, 91 Percy Street, , Newcastle upon Tyne, Tyne & Wear, NE1 7RW"
54.977359,-1.614927,"Anyone Coffee, 1 Grand Hotel Buildings, Percy Street, Newcastle upon Tyne, Tyne & Wear, NE1 7RY"
54.977359,-1.614927,"The Hotspur, The Hotspur, 103 Percy Street, Newcastle Upon Tyne, , NE1 7RY"
54.974953,-1.609297,"Totally Delicious, Laing Art Gallery, Laing Art Gallery, New Bridge Street, Newcastle upon Tyne, , NE1 8AG"
54.974915,-1.608719,"Journey Cafe, Journey Cafe, 7-9 Higham House, New Bridge Street West, Newcastle upon Tyne, Tyne and Wear, NE1 8AN"
54.974992,-1.610437,"Cafe at Newcastle City Library, Cafe at City Library, 33 New Bridge Street West, Newcastle upon Tyne, Tyne & Wear, NE1 8AX"
